"date","RSV cases overall"
2023-09-09,"136"
2023-09-16,"167"
2023-09-23,"340"
2023-09-30,"421"
2023-10-07,"644"
2023-10-14,"894"
2023-10-21,"1379"
2023-10-28,"2259"
2023-11-04,"2733"
2023-11-11,"3673"
2023-11-18,"4415"
2023-11-25,"4073"
2023-12-02,"4902"
2023-12-09,"4483"
2023-12-16,"3975"
2023-12-23,"3662"
2023-12-30,"3012"
2024-01-06,"2567"
2024-01-13,"2079"
2024-01-20,"1421"
2024-01-27,"1209"
2024-02-03,"1021"
2024-02-10,"904"
2024-02-17,"667"
2024-02-24,"557"
2024-03-02,"582"
2024-03-09,"423"
2024-03-16,"324"
2024-03-23,"319"
2024-03-30,"271"
2024-04-06,"233"
2024-04-13,"172"
2024-04-20,"193"
2024-04-27,"115"
2024-05-04,"113"
2024-05-11,"90"
2024-05-18,"106"
2024-05-25,"103"
2024-06-01,"92"
2024-06-08,"95"
2024-06-15,"97"
2024-06-22,"91"
2024-06-29,"89"
2024-07-06,"110"
2024-07-13,"104"
2024-07-20,"116"
2024-07-27,"110"
2024-08-03,"103"
2024-08-10,"111"
2024-08-17,"104"
2024-08-24,"142"
2024-08-31,"186"
2024-09-07,"165"
2024-09-14,"174"
2024-09-21,"244"
2024-09-28,"320"
2024-10-05,"347"
2024-10-12,"517"
2024-10-19,"585"
2024-10-26,"748"
2024-11-02,"1013"
2024-11-09,"1560"
2024-11-16,"2102"
2024-11-23,"2823"
2024-11-30,"3454"
2024-12-07,"4508"
2024-12-14,"4781"
2024-12-21,"4697"
2024-12-28,"3511"
2025-01-04,"3199"
2025-01-11,"2565"
2025-01-18,"2145"
2025-01-25,"1630"
2025-02-01,"1374"
2025-02-08,"1327"
2025-02-15,"1038"
2025-02-22,"871"
2025-03-01,"732"
2025-03-08,"642"
2025-03-15,"548"
2025-03-22,"468"
2025-03-29,"412"
2025-04-05,"338"
2025-04-12,"243"
2025-04-19,"190"
2025-04-26,"156"
2025-05-03,"125"
2025-05-10,"103"
2025-05-17,"107"
2025-05-24,"75"
2025-05-31,"87"
2025-06-07,"64"
2025-06-14,"71"
2025-06-21,"80"
2025-06-28,"68"
2025-07-05,"83"
2025-07-12,"72"
2025-07-19,"75"
2025-07-26,"84"
2025-08-02,"111"
2025-08-09,"115"
2025-08-16,"100"
2025-08-23,"104"
2025-08-30,"124"
2025-09-06,"122"
2025-09-13,"142"
2025-09-20,"202"
2025-09-27,"218"
2025-10-04,"271"
